long,lat,date,apn,address,city,zip,units
-118.261212,34.056879,2002-04-01T00:00:00Z,,1326 W 4TH,Los Angeles,,1
-118.29724,34.07293,2004-10-01T00:00:00Z,,3865 W 1ST,Los Angeles,,5
-118.252201,34.069867,2001-07-01T00:00:00Z,,414 E CARROLL,Los Angeles,,1
-118.26921,33.93765,2016-04-04T00:00:00Z,,307  E 109TH  ST,Los Angeles,,2
-118.210186,34.0668,2004-09-01T00:00:00Z,,1923 N EASTLAKE,Los Angeles,,1
-118.384683,34.075809,2004-04-01T00:00:00Z,,118 N CLARK,Los Angeles,,6
-118.284114,34.089942,2017-02-28T00:00:00Z,,1006  N MYRA  AVE,Los Angeles,90029,3
-118.271923,34.024857,2017-11-01T00:00:00Z,5122012009,222  W 27TH  ST,Los Angeles,90007,6
-118.250442,34.052695,2004-09-01T00:00:00Z,,219 S 3RD,Los Angeles,,4
-118.258608,34.043791,2006-07-01T00:00:00Z,,424 W 9TH,Los Angeles,,8
-118.321731,34.059694,2009-07-22T00:00:00Z,,4245 W 8TH ST,Los Angeles,90005,4
-118.2901,33.96459,2014-02-13T00:00:00Z,,929 W 82ND ST,Los Angeles,90044,2
-118.264003,34.036235,2005-03-01T00:00:00Z,,262 W 14TH,Los Angeles,,2
-118.31177,34.01398,2013-11-19T00:00:00Z,,1719 W 39TH PL,Los Angeles,90062,2
-118.311682,34.025703,2005-02-01T00:00:00Z,,230 S 5TH,Los Angeles,,2
-118.44876,34.04809,2012-04-05T00:00:00Z,,1523 S BELOIT AVE 1-7,Los Angeles,90025,7
-118.321044,34.034693,2017-01-05T00:00:00Z,,2424  S 4TH  AVE,Los Angeles,90018,4
-118.433043,34.002767,2002-08-01T00:00:00Z,,3833 S CENTINELA,Los Angeles,,1
-118.29154,33.72723,2016-09-13T00:00:00Z,,654   19TH  ST,Los Angeles,90731,2
-118.38285,33.96862,2007-03-07T00:00:00Z,,7805 S FLIGHT AVE,Los Angeles,90045,2
-118.37497,34.16222,2013-08-09T00:00:00Z,,5053 N FAIR AVE,Los Angeles,91601,4
-118.329995,34.084295,2014-09-17T00:00:00Z,,729 N COLE AVE,Los Angeles,90038,2
-118.279,34.0008,2014-12-03T00:00:00Z,,314  W 47TH  ST,Los Angeles,90037,1
-118.24211,34.04498,2005-07-01T00:00:00Z,,460 E 4TH,Los Angeles,,50
-118.26646,33.96673,2006-07-01T00:00:00Z,,423 E 80TH,Los Angeles,,2
-118.43949,34.03336,2001-06-01T00:00:00Z,,2440 Purdue,Los Angeles,,2
-118.36972,34.14897,2013-06-18T00:00:00Z,,10950 W BLOOMFIELD ST,Los Angeles,91602,7
-118.463519,33.998374,2015-12-18T00:00:00Z,,833  E BROOKS  AVE,Los Angeles,90291,3
-118.243089,34.150735,2006-06-01T00:00:00Z,,319 N BELMONT,Los Angeles,,2
-118.29792,34.05492,2014-09-04T00:00:00Z,,933 S FEDORA ST,Los Angeles,90006,3
-118.26216,34.0239,2006-09-01T00:00:00Z,,610 E 24TH,Los Angeles,,5
-118.431115,34.203655,2006-10-01T00:00:00Z,,7318 N WOODMAN,Los Angeles,,3
-118.3806,34.06259,2006-10-01T00:00:00Z,,811 S BEDFORD,Los Angeles,,14
